Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result (EUR),Total (EUR),ID,Currency conversion fee (EUR)
Market buy,2021-09-09 14:53:18,US19260Q1076,COIN,Coinbase,1,259.96,USD,1.18157,,220.34,EOF1536843889,0.33
Market sell,2021-10-06 13:30:10,US19260Q1076,COIN,Coinbase,0.2,242.11,USD,1.15446,-2.06,41.88,EOF1583651309,0.06
Market sell,2021-10-11 14:38:35,US19260Q1076,COIN,Coinbase,0.35,255.8,USD,1.15794,0.32,77.2,EOF1592178427,0.12
